,RequirementText,Class,cleaned_text,label
584,Rreports must be easy to generate. eports must be generated within one button click and exported within one button click (after selecting the report),US,rreports must be easy to generate eports must be generated within one button click and exported within one button click after selecting the report,6
585,A user shall be able to use the system without instruction after a short amount of time. After one use a user should understand and remember 90% of the system usage and navigation.,US,a user shall be able to use the system without instruction after a short amount of time after one use a user should understand and remember 90 of the system usage and navigation,6
586,All CCR users shall receive training before the WCS system is deployed. One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available),US,all ccr users shall receive training before the wcs system is deployed one training session will be held for 100 of ccr users before system deployment based on a ccr user being available,6
587,The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.,US,the wcs system shall use appropriate nomenclature and terminology as defined by the corporate community grants organization all interfaces and reports will undergo usability tests by ccr users,6
588,The WCS system shall be available at all times as long as IBM's internal intranet W3 is accessible. The WCS system will be available 95% of the time IBM's internal intranet W3 is available.,Other,the wcs system shall be available at all times as long as ibms internal intranet w3 is accessible the wcs system will be available 95 of the time ibms internal intranet w3 is available,3
589,The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.,Other,the wcs system shall have the ability to connect other designated wcs databases currently not included in the system,3
590,The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management.,Other,the wcs system shall have the ability to include data for regions outside the united states and be accessed by users outside of the united states if approved by ccr management,3
591,The WCS system shall be run in a Windows environment. The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.,O,the wcs system shall be run in a windows environment the wcs shall be accessed by users through the internet on an ibm computer running a windows 2000 or above operating system,2
592,The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats).  Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.,O,the brio portion of the wcs system must be able to export files in spreadsheet form microsoft excel and lotus 123 formats  brio will provide buttons in the user interface that produceexport reports in xls or 123 file formats,2
593,The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.,Other,the wcs system must run queries to the wcs databases once again on a specified day to update the available data available to ccr users queries must be made to external databases for data refresh once a week,3
594,All changes  updates  and additions to the WCS system shall be updated in the WCS Developer and WCS User Guides. Every change must be reflected in WCS system documentation,Other,all changes  updates  and additions to the wcs system shall be updated in the wcs developer and wcs user guides every change must be reflected in wcs system documentation,3
595,The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.,SE,the system shall only be accessed by authorized corporate community grants ccr employees users must be authenticated using their ibm intranet user name and password,5
596,The WCS system shall not allow automatic logins by any user. Cookies containing WCS login information about a user will not be stored on a user's computer.,SE,the wcs system shall not allow automatic logins by any user cookies containing wcs login information about a user will not be stored on a users computer,5
597,Each team owner will need to use a username and password in order to be authenticated to reach the team owner's page,SE,each team owner will need to use a username and password in order to be authenticated to reach the team owners page,5
598,The Commissioner will be the only authorized user per league to adjust league settings.,SE,the commissioner will be the only authorized user per league to adjust league settings,5
599,Each page shall contain a navigation menu which shows the index into which the current page is contained.,LF,each page shall contain a navigation menu which shows the index into which the current page is contained,1
600,Each page shall contain a similar format with action items in one location and navigation buttons in a different location.,LF,each page shall contain a similar format with action items in one location and navigation buttons in a different location,1
601,The message board shall contain the 5 most recently posted messages on the league page. The messages will contain up to the first 150 characters of the message.,LF,the message board shall contain the 5 most recently posted messages on the league page the messages will contain up to the first 150 characters of the message,1
602,A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.,US,a new user shall be able to navigate through the league and team pages within 30 seconds of reaching the startup page,6
603,Users shall be able to reach the 'add'  'drop'  and 'trade player' pages with one click from the team owner's page.,US,users shall be able to reach the add  drop  and trade player pages with one click from the team owners page,6
604,Users shall be able to view at least 25 NFL player statistics and points on each page.,US,users shall be able to view at least 25 nfl player statistics and points on each page,6
605,The application shall ask the user to confirm dropping a player or trading a player before performing the action.,US,the application shall ask the user to confirm dropping a player or trading a player before performing the action,6
606,The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.,PE,the application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network,4
607,The application shall have a downtime of at most 10 minutes per year.,Other,the application shall have a downtime of at most 10 minutes per year,3
608,The application shall run on a web application server.,O,the application shall run on a web application server,2
609,A primary database will be used to store cached data for active users.,O,a primary database will be used to store cached data for active users,2
610,A secondary database will be used to store historical statistics and data.,O,a secondary database will be used to store historical statistics and data,2
611,Application updates shall occur between 3AM and 6 AM CST on Wednesday morning during the middle of the NFL season.,Other,application updates shall occur between 3am and 6 am cst on wednesday morning during the middle of the nfl season,3
612,New System version releases shall be released at the beginning of each NFL season.,Other,new system version releases shall be released at the beginning of each nfl season,3
613,The RFS system should be available 24/7  especially during the budgeting period. The RFS system shall be available 90% of the time all year  and 98% during the budgeting period. 2% of the time  the system will become available within 1 hour of the time that the situation is reported.,Other,the rfs system should be available 247  especially during the budgeting period the rfs system shall be available 90 of the time all year  and 98 during the budgeting period 2 of the time  the system will become available within 1 hour of the time that the situation is reported,3
614,98% of the user workstations shall meet the minimum hardware requirements prior to implementation. Minimum Hard Disk Space:  400MB.,O,98 of the user workstations shall meet the minimum hardware requirements prior to implementation minimum hard disk space  400mb,2
615,98% of the user workstations shall meet the minimum software requirements prior to implementation: Microsoft Internet Explorer 5.0. Microsoft .NET Framework 1.1. Microsoft Internet Explorer Web Controls,O,98 of the user workstations shall meet the minimum software requirements prior to implementation microsoft internet explorer 50 microsoft net framework 11 microsoft internet explorer web controls,2
616,The RFS system should be able to easily interface with the BDW environment  in order to load the data. '	7 data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process  every year. The data will be as of October month-end. 	Test files (7) shall be loaded up to 5 times throughout the year  from the BDW.,O,the rfs system should be able to easily interface with the bdw environment  in order to load the data 	7 data files shall be received from the bdw and loaded into the rfs system within 3 hours one day prior to the start of budgeting process  every year the data will be as of october monthend 	test files 7 shall be loaded up to 5 times throughout the year  from the bdw,2
617,Changes to revenue and expense formulae must be applied to the RFS system  every year  prior to the budgeting process start. Revenue and expense formulae will be updated within one week of their receipt  after which 2 weeks will be allotted to testing of the budget calculations  to be conducted jointly by the project development team and PCG Finance.,Other,changes to revenue and expense formulae must be applied to the rfs system  every year  prior to the budgeting process start revenue and expense formulae will be updated within one week of their receipt  after which 2 weeks will be allotted to testing of the budget calculations  to be conducted jointly by the project development team and pcg finance,3
618,New branches/complexes/districts/regions and revenue/expense accounts added to the BDW  must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end  will be loaded into the RFS system  prior to the budget start process.,Other,new branchescomplexesdistrictsregions and revenueexpense accounts added to the bdw  must be reflected in the rfs system 100 of the entities mentioned above available as of october monthend  will be loaded into the rfs system  prior to the budget start process,3
619,Only authorized user shall access the RFS system. ONLY users that exist in the UAS system  with the RFS system assigned to their role(s)  shall access the RFS system and use it.,SE,only authorized user shall access the rfs system only users that exist in the uas system  with the rfs system assigned to their roles  shall access the rfs system and use it,5
620,User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role..,SE,user access should be limited to the permissions granted to their roles each level in the pcg hierarchy will be assigned a role and users will be assigned to these roles access to functionality within rfs system is dependent on the privilegespermission assigned to the role,5
621,The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group  prior to implementation. The remaining 5% will be corrected and approved within one month of product release.,LF,the product must comply with the intranet page standards and requirements of enet securities 95 of the product look  feel will be approved by the architecture group  prior to implementation the remaining 5 will be corrected and approved within one month of product release,1
622,The intranet pages should display appropriately in all resolutions  from 800x600 and higher. The display of all the pages will be correct in 95% of the resolutions  prior to implementation. The remaining 5% will be corrected within a week of notification of the incorrect display.,LF,the intranet pages should display appropriately in all resolutions  from 800x600 and higher the display of all the pages will be correct in 95 of the resolutions  prior to implementation the remaining 5 will be corrected within a week of notification of the incorrect display,1
623,The users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion. With a week of training prior to product implementation  98% of the users shall complete their budgets within the stipulated time.,US,the users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion with a week of training prior to product implementation  98 of the users shall complete their budgets within the stipulated time,6
624,The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time  the response time should not be more than 10 seconds.not be more than 10 seconds.,PE,the product interface should be fast the response time of the product interface should not exceed 2 seconds 90 of the time for 10 of the time  the response time should not be more than 10 secondsnot be more than 10 seconds,4
